I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
7684752.000000,-0.068982,0.539539,-0.007044,0.004261,-0.012783,0.031958,-2.453450,-0.372687,9.626109,2.050000,9.940840,-0.007044,0.000000,-0.030285,0.290157
7686753.000000,-0.068984,0.539768,-0.007035,-0.004261,-0.004261,0.007457,-4.014246,-0.296354,8.816075,1.958000,9.691501,-0.007035,0.000000,-0.035382,0.112702
7688771.000000,-0.069003,0.540024,-0.007065,-0.002131,0.007457,-0.008522,-4.014246,-0.296354,8.816075,2.004000,9.691501,-0.007065,0.000000,-0.035400,0.112957
7690753.000000,-0.069078,0.539935,-0.007105,0.007457,-0.006392,-0.008522,-2.555827,-0.764233,9.997001,2.004000,10.346803,-0.007105,0.000000,0.007220,0.290335
7692773.000000,-0.069093,0.539771,-0.007126,0.003196,-0.014914,-0.010653,-2.085253,-0.387056,9.415967,2.004000,9.651866,-0.007126,0.000000,-0.028010,0.322007
7694753.000000,-0.069077,0.539870,-0.007179,0.018109,-0.001065,-0.021305,-3.312876,-0.284679,9.117818,2.051000,9.705194,-0.007179,0.000000,-0.037865,0.191516
7696753.000000,-0.069156,0.539875,-0.007252,0.002131,0.010653,-0.024501,-2.709392,-0.579237,9.241747,1.957000,9.648120,-0.007252,0.000000,-0.006561,0.255226
7698771.000000,-0.069224,0.539858,-0.007307,0.003196,-0.001065,-0.017044,-2.709392,-0.579237,9.241747,2.004000,9.648120,-0.007307,0.000000,-0.006629,0.255209
7700753.000000,-0.069154,0.539854,-0.007307,0.013848,-0.007457,-0.006392,-2.891694,-0.086212,9.409681,2.005000,9.844360,-0.007307,0.000000,-0.059992,0.241716
7702753.000000,-0.069136,0.540033,-0.007314,0.001065,-0.007457,-0.003196,-3.720587,-0.193977,8.792727,2.004000,9.549473,-0.007314,0.000000,-0.047078,0.139823
7704753.000000,-0.069078,0.539752,-0.007299,0.013848,-0.005326,-0.002131,-1.496137,-0.229001,10.351727,2.051000,10.461793,-0.007299,0.000000,-0.046960,0.396250
7706753.000000,-0.069077,0.539753,-0.007310,0.003196,0.006392,-0.004261,-2.701309,-0.317907,9.206723,1.957000,9.600099,-0.007310,0.000000,-0.034561,0.254517
7708771.000000,-0.069095,0.539781,-0.007295,-0.012783,0.019175,0.007457,-2.701309,-0.317907,9.206723,2.004000,9.600099,-0.007295,0.000000,-0.034579,0.254545
7710753.000000,-0.068889,0.540004,-0.007189,0.001065,0.003196,0.026632,-4.006164,0.562174,9.230970,2.004000,10.078502,-0.007189,0.000000,-0.129714,0.131217
7712752.000000,-0.068960,0.539929,-0.007119,-0.024501,-0.007457,0.037284,-2.501944,-0.663653,9.542591,2.012000,9.887426,-0.007119,0.000000,0.000475,0.284105
7714753.000000,-0.069162,0.539771,-0.007135,-0.008522,-0.010653,0.015979,-2.138237,-1.345266,9.696157,2.043000,10.019843,-0.007135,0.000000,0.068700,0.324717
7716753.000000,-0.069164,0.539829,-0.007172,0.012783,-0.001065,-0.013848,-3.120695,-0.368197,9.189661,1.958000,9.712063,-0.007172,0.000000,-0.029119,0.212704
7718771.000000,-0.069174,0.539914,-0.007224,0.012783,0.011718,-0.019175,-3.120695,-0.368197,9.189661,2.004000,9.712063,-0.007224,0.000000,-0.029129,0.212789
7720753.000000,-0.069026,0.540121,-0.007211,0.006392,0.015979,-0.009587,-3.599351,0.409507,8.775663,2.004000,9.493960,-0.007211,0.000000,-0.115656,0.151276
7722752.000000,-0.069075,0.539926,-0.007226,0.001065,-0.004261,-0.003196,-1.843680,-0.587319,9.689870,2.004000,9.881178,-0.007226,0.000000,-0.008538,0.352241
7724752.000000,-0.068915,0.539866,-0.007148,0.007457,-0.001065,0.015979,-2.536968,0.261330,9.609046,2.051000,9.941744,-0.007148,0.000000,-0.096105,0.281829
7726753.000000,-0.068958,0.540147,-0.007111,-0.015979,0.012783,0.026632,-4.166016,-0.489433,8.920248,1.957000,9.857285,-0.007111,0.000000,-0.014145,0.103798
