I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
138763.000000,-0.000043,0.000559,0.000004,0.007457,-0.005326,0.002131,-2.723761,-0.280189,9.413273,2.051000,9.803422,0.000004,0.000000,0.029713,-0.280984
140781.000000,-0.000096,0.001110,0.000006,0.006392,0.002131,0.001065,-2.739027,-0.326887,9.391720,1.957000,9.788438,0.000006,0.000000,0.034696,-0.282499
142762.000000,-0.000161,0.001679,0.000011,0.001065,0.004261,0.002131,-2.739027,-0.326887,9.391720,2.005000,9.788438,0.000011,0.000000,0.034631,-0.281931
144762.000000,-0.000225,0.002252,0.000002,0.000000,0.005326,-0.004261,-2.761478,-0.316111,9.396211,2.003000,9.798697,0.000002,0.000000,0.033404,-0.283439
146763.000000,-0.000285,0.002815,0.000010,0.000000,0.006392,0.004261,-2.695921,-0.292762,9.408783,2.004000,9.791777,0.000010,0.000000,0.030821,-0.276113
148763.000000,-0.000315,0.003092,0.000019,-0.001065,0.000000,0.008522,-2.727353,-0.285577,9.429438,1.003000,9.820097,0.000019,0.000000,0.029961,-0.278340
150782.000000,-0.000385,0.003889,0.000022,0.006392,-0.007457,0.001065,-2.692329,-0.293660,9.440214,3.006000,9.821024,0.000022,0.000000,0.030712,-0.273806
152763.000000,-0.000438,0.004433,0.000030,0.003196,-0.001065,0.004261,-2.692329,-0.293660,9.440214,2.004000,9.821024,0.000030,0.000000,0.030659,-0.273262
154763.000000,-0.000493,0.004986,0.000036,0.008522,0.004261,0.003196,-2.689635,-0.353828,9.424049,2.004000,9.806734,0.000036,0.000000,0.037034,-0.272838
156763.000000,-0.000540,0.005554,0.000027,0.007457,0.009587,-0.004261,-2.703105,-0.302640,9.414171,2.004000,9.799234,0.000027,0.000000,0.031597,-0.273919
158763.000000,-0.000563,0.005831,0.000027,0.005326,0.006392,0.000000,-2.677960,-0.278393,9.425846,1.002000,9.802834,0.000027,0.000000,0.028964,-0.270869
160782.000000,-0.000655,0.006671,0.000033,0.000000,0.005326,0.002131,-2.709392,-0.303538,9.395312,3.007000,9.782885,0.000033,0.000000,0.031641,-0.273949
162764.000000,-0.000717,0.007226,0.000028,0.000000,0.003196,-0.002131,-2.709392,-0.303538,9.395312,2.003000,9.782885,0.000028,0.000000,0.031580,-0.273395
164763.000000,-0.000783,0.007765,0.000030,-0.002131,-0.002131,0.001065,-2.691431,-0.306232,9.431234,2.004000,9.812531,0.000030,0.000000,0.031676,-0.270082
166764.000000,-0.000858,0.008311,0.000030,-0.005326,0.000000,0.000000,-2.707596,-0.319703,9.408783,2.004000,9.795840,0.000030,0.000000,0.033108,-0.271738
168763.000000,-0.000889,0.008588,0.000031,-0.001065,0.003196,0.002131,-2.712984,-0.292762,9.385434,1.002000,9.774066,0.000031,0.000000,0.030294,-0.272675
170782.000000,-0.000972,0.009428,0.000053,0.004261,0.007457,0.007457,-2.708494,-0.318805,9.433928,3.007000,9.820213,0.000053,0.000000,0.032809,-0.270003
172763.000000,-0.000998,0.009706,0.000060,0.006392,0.006392,0.007457,-2.708494,-0.318805,9.433928,1.001000,9.820213,0.000060,0.000000,0.032783,-0.269725
174764.000000,-0.001040,0.010265,0.000062,0.008522,0.000000,0.001065,-2.709392,-0.292762,9.415070,2.057000,9.801533,0.000062,0.000000,0.030045,-0.269808
176763.000000,-0.001101,0.010787,0.000067,0.001065,-0.002131,0.003196,-2.695921,-0.322397,9.433928,1.952000,9.816871,0.000067,0.000000,0.033059,-0.267409
178747.000000,-0.001171,0.011336,0.000069,-0.002131,0.000000,0.001065,-2.736333,-0.324193,9.406987,2.004000,9.802246,0.000069,0.000000,0.033278,-0.271577
180781.000000,-0.001243,0.011886,0.000062,-0.003196,0.001065,-0.003196,-2.737231,-0.325989,9.410579,2.004000,9.806003,0.000062,0.000000,0.033384,-0.271010
182763.000000,-0.001311,0.012449,0.000050,-0.001065,0.006392,-0.005326,-2.737231,-0.325989,9.410579,2.012000,9.806003,0.000050,0.000000,0.033316,-0.270447
184764.000000,-0.001374,0.013021,0.000045,0.000000,0.012783,-0.002131,-2.677062,-0.309824,9.423152,2.043000,9.800941,0.000045,0.000000,0.031493,-0.263638
186763.000000,-0.001432,0.013571,0.000053,-0.002131,0.007457,0.004261,-2.733639,-0.275699,9.386332,1.960000,9.780185,0.000053,0.000000,0.027932,-0.269710
188747.000000,-0.001484,0.014124,0.000060,0.000000,0.002131,0.004261,-2.748906,-0.263126,9.396211,2.001000,9.793594,0.000060,0.000000,0.026512,-0.270382
190781.000000,-0.001533,0.014682,0.000062,0.004261,0.006392,0.001065,-2.731843,-0.285577,9.415967,2.004000,9.808413,0.000062,0.000000,0.028787,-0.267572
192764.000000,-0.001583,0.015228,0.000063,0.003196,0.001065,0.001065,-2.731843,-0.285577,9.415967,2.004000,9.808413,0.000063,0.000000,0.028736,-0.267025
194764.000000,-0.001645,0.015776,0.000073,0.003196,-0.001065,0.005326,-2.701309,-0.336766,9.414171,2.051000,9.799852,0.000073,0.000000,0.034111,-0.263488
196764.000000,-0.001718,0.016300,0.000076,-0.004261,-0.004261,0.002131,-2.739925,-0.327785,9.406987,1.957000,9.803369,0.000076,0.000000,0.033113,-0.266961
198746.000000,-0.001787,0.016847,0.000080,-0.006392,0.000000,0.002131,-2.753396,-0.282883,9.406987,2.004000,9.805744,0.000080,0.000000,0.028276,-0.267775
200789.000000,-0.001841,0.017402,0.000087,0.002131,0.005326,0.004261,-2.735435,-0.296354,9.372861,2.004000,9.768365,0.000087,0.000000,0.029767,-0.266423
202771.000000,-0.001887,0.017959,0.000086,0.006392,0.006392,0.000000,-2.735435,-0.296354,9.372861,2.004000,9.768365,0.000086,0.000000,0.029720,-0.265866
204765.000000,-0.001923,0.018521,0.000094,0.007457,0.003196,0.004261,-2.730945,-0.249656,9.392618,2.052000,9.784767,0.000094,0.000000,0.024651,-0.264338
206754.000000,-0.001970,0.019037,0.000095,0.005326,-0.002131,0.001065,-2.700411,-0.301742,9.450093,1.957000,9.832982,0.000095,0.000000,0.029949,-0.259166
208754.000000,-0.002017,0.019567,0.000098,0.006392,-0.001065,0.002131,-2.695921,-0.301742,9.423152,2.004000,9.805857,0.000098,0.000000,0.029993,-0.258950
210764.000000,-0.002068,0.020102,0.000090,0.002131,0.000000,-0.003196,-2.695023,-0.278393,9.370167,2.004000,9.754008,0.000090,0.000000,0.027634,-0.259839
212744.000000,-0.002121,0.020636,0.000100,0.001065,0.000000,0.005326,-2.695023,-0.278393,9.370167,2.004000,9.754008,0.000100,0.000000,0.027581,-0.259305
214746.000000,-0.002184,0.021174,0.000110,-0.002131,-0.003196,0.005326,-2.695023,-0.289169,9.402496,2.051000,9.785382,0.000110,0.000000,0.028561,-0.257846
216746.000000,-0.002248,0.021694,0.000115,-0.002131,0.001065,0.003196,-2.696819,-0.311620,9.429438,1.957000,9.812453,0.000115,0.000000,0.030788,-0.256726
218746.000000,-0.002302,0.022242,0.000101,0.001065,0.009587,-0.006392,-2.698615,-0.282883,9.451889,2.004000,9.833654,0.000101,0.000000,0.027618,-0.255751
220765.000000,-0.002358,0.022758,0.000087,0.003196,-0.007457,-0.006392,-2.697717,-0.315213,9.400701,2.004000,9.785203,0.000087,0.000000,0.031160,-0.256553
222744.000000,-0.002418,0.023284,0.000098,0.001065,-0.002131,0.006392,-2.697717,-0.315213,9.400701,2.004000,9.785203,0.000098,0.000000,0.031100,-0.256027
224746.000000,-0.002475,0.023846,0.000116,0.001065,0.014914,0.009587,-2.652815,-0.296354,9.436623,2.051000,9.806890,0.000116,0.000000,0.028920,-0.250071
226747.000000,-0.002531,0.024378,0.000119,0.000000,0.008522,0.002131,-2.692329,-0.295456,9.425846,1.957000,9.807268,0.000119,0.000000,0.028804,-0.253717
228746.000000,-0.002612,0.024908,0.000118,-0.008522,0.000000,0.000000,-2.716576,-0.321499,9.437520,2.005000,9.825983,0.000118,0.000000,0.031441,-0.255209
230764.000000,-0.002659,0.025443,0.000118,0.003196,0.002131,0.001065,-2.708494,-0.274801,9.403395,2.004000,9.789550,0.000118,0.000000,0.026556,-0.254886
232746.000000,-0.002695,0.025975,0.000123,0.008522,0.001065,0.003196,-2.708494,-0.274801,9.403395,2.004000,9.789550,0.000123,0.000000,0.026520,-0.254354
234746.000000,-0.002746,0.026513,0.000126,0.002131,-0.002131,0.002131,-2.712984,-0.273903,9.404293,2.051000,9.791631,0.000126,0.000000,0.026371,-0.254232
236746.000000,-0.002806,0.027041,0.000127,-0.002131,0.004261,0.001065,-2.728251,-0.292762,9.412375,1.957000,9.804176,0.000127,0.000000,0.028288,-0.254956
238746.000000,-0.002845,0.027592,0.000130,0.003196,0.008522,0.002131,-2.751600,-0.237981,9.450093,2.004000,9.845415,0.000130,0.000000,0.022333,-0.255661
240764.000000,-0.002893,0.028134,0.000126,0.004261,0.007457,-0.001065,-2.711188,-0.290067,9.421355,2.004000,9.807987,0.000126,0.000000,0.027886,-0.251940
242746.000000,-0.002941,0.028656,0.000118,0.004261,-0.002131,-0.003196,-2.711188,-0.290067,9.421355,2.004000,9.807987,0.000118,0.000000,0.027838,-0.251417
244746.000000,-0.002989,0.029200,0.000123,0.004261,0.000000,0.003196,-2.720168,-0.284679,9.362084,2.051000,9.753408,0.000123,0.000000,0.027409,-0.253442
246746.000000,-0.003031,0.029719,0.000117,0.000000,0.001065,-0.002131,-2.719270,-0.222714,9.373759,1.957000,9.762755,0.000117,0.000000,0.020724,-0.252549
248746.000000,-0.003077,0.030261,0.000118,0.001065,0.008522,0.001065,-2.706698,-0.251452,9.421355,2.004000,9.805680,0.000118,0.000000,0.023606,-0.249404
250765.000000,-0.003118,0.030790,0.000131,0.004261,0.004261,0.007457,-2.688737,-0.258636,9.427642,2.004000,9.806969,0.000131,0.000000,0.024309,-0.246933
252746.000000,-0.003164,0.031294,0.000134,0.002131,-0.007457,0.002131,-2.688737,-0.258636,9.427642,2.005000,9.806969,0.000134,0.000000,0.024263,-0.246428
254746.000000,-0.003220,0.031817,0.000134,0.003196,-0.008522,0.001065,-2.727353,-0.316111,9.393517,2.050000,9.786549,0.000134,0.000000,0.030419,-0.250606
256746.000000,-0.003254,0.032330,0.000137,0.010653,-0.001065,0.002131,-2.730945,-0.287373,9.416865,1.958000,9.809077,0.000137,0.000000,0.027254,-0.249808
258746.000000,-0.003303,0.032871,0.000141,0.007457,0.008522,0.003196,-2.715678,-0.328683,9.413273,2.004000,9.802686,0.000141,0.000000,0.031600,-0.247835
260764.000000,-0.003357,0.033407,0.000142,0.001065,0.004261,0.001065,-2.723761,-0.291864,9.371065,2.004000,9.763244,0.000142,0.000000,0.027778,-0.249326
262746.000000,-0.003415,0.033946,0.000159,-0.001065,0.006392,0.009587,-2.723761,-0.291864,9.371065,2.004000,9.763244,0.000159,0.000000,0.027720,-0.248787
264746.000000,-0.003471,0.034500,0.000168,0.004261,0.003196,0.005326,-2.771357,-0.325091,9.389924,2.055000,9.795753,0.000168,0.000000,0.031136,-0.252331
266745.000000,-0.003536,0.035002,0.000172,-0.003196,-0.004261,0.003196,-2.729149,-0.309824,9.421355,1.953000,9.813571,0.000172,0.000000,0.029338,-0.246812
268746.000000,-0.003591,0.035543,0.000179,-0.003196,0.006392,0.004261,-2.752498,-0.260432,9.433928,2.007000,9.830721,0.000179,0.000000,0.024007,-0.248240
270764.000000,-0.003641,0.036090,0.000177,0.003196,0.011718,0.000000,-2.736333,-0.290067,9.429438,2.001000,9.822726,0.000177,0.000000,0.027111,-0.246217
272746.000000,-0.003681,0.036623,0.000181,0.007457,0.005326,0.003196,-2.736333,-0.290067,9.429438,2.004000,9.822726,0.000181,0.000000,0.027071,-0.245683
274746.000000,-0.003747,0.037164,0.000181,-0.003196,0.000000,0.001065,-2.750702,-0.301742,9.372861,2.051000,9.772816,0.000181,0.000000,0.028435,-0.248156
276746.000000,-0.003797,0.037677,0.000200,0.001065,0.002131,0.010653,-2.718372,-0.281087,9.403395,1.957000,9.792466,0.000200,0.000000,0.026086,-0.243617
278746.000000,-0.003842,0.038192,0.000207,0.006392,-0.003196,0.004261,-2.733639,-0.298150,9.407885,2.004000,9.801529,0.000207,0.000000,0.027839,-0.244455
280765.000000,-0.003904,0.038713,0.000202,0.004261,0.000000,-0.001065,-2.733639,-0.364605,9.442011,2.005000,9.836529,0.000202,0.000000,0.034692,-0.242902
282746.000000,-0.003970,0.039234,0.000193,0.002131,0.001065,-0.003196,-2.733639,-0.364605,9.442011,2.004000,9.836529,0.000193,0.000000,0.034626,-0.242381
284746.000000,-0.004020,0.039756,0.000207,0.003196,-0.007457,0.007457,-2.767765,-0.292762,9.451889,2.050000,9.853144,0.000207,0.000000,0.026944,-0.244978
286746.000000,-0.004078,0.040261,0.000213,0.000000,0.002131,0.004261,-2.708494,-0.311620,9.459073,1.958000,9.844141,0.000213,0.000000,0.028854,-0.238472
288746.000000,-0.004142,0.040798,0.000206,0.001065,0.008522,-0.002131,-2.742619,-0.342154,9.430336,2.004000,9.827017,0.000206,0.000000,0.032124,-0.242048
290765.000000,-0.004182,0.041324,0.000210,0.004261,0.004261,0.003196,-2.729149,-0.256840,9.426744,2.004000,9.817215,0.000210,0.000000,0.023057,-0.240384
