I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25
138784.000000,-0.006439,0.254819,-0.000001,0.000175,0.003306,-0.000625,-2.470513,-0.061067,9.484219,2.051000,-0.000668,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140801.000000,-0.006577,0.255020,0.000010,-0.006216,0.003306,0.005767,-2.478595,-0.063761,9.499485,1.962000,0.005937,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
142783.000000,-0.006612,0.255092,0.000013,0.006567,0.003306,0.001506,-2.478595,-0.063761,9.499485,2.000000,0.001534,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
144783.000000,-0.006288,0.255934,-0.000014,0.004436,-0.003086,-0.013408,-2.504638,-0.050290,9.471646,2.004000,-0.013835,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
146784.000000,-0.005702,0.256491,-0.000031,-0.000890,0.002241,-0.008082,-2.513619,-0.031431,9.497689,2.004000,-0.008368,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
148807.000000,-0.006360,0.256715,-0.000032,0.001241,0.002241,-0.000625,-2.492964,-0.091600,9.453685,2.051000,-0.000659,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150802.000000,-0.006318,0.256545,-0.000042,0.002306,-0.003086,-0.004886,-2.471411,-0.057475,9.459073,1.958000,-0.005031,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
152784.000000,-0.006284,0.256419,-0.000041,0.002306,-0.002021,0.000441,-2.471411,-0.057475,9.459073,2.004000,0.000469,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
154784.000000,-0.006338,0.256784,-0.000023,0.007632,0.005436,0.008963,-2.510925,-0.065557,9.452787,2.004000,0.009230,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
156784.000000,-0.005968,0.256896,-0.000015,0.005502,0.004371,0.003636,-2.498352,-0.026043,9.474340,2.004000,0.003731,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
158784.000000,-0.005785,0.256840,-0.000015,0.003371,0.002241,0.000441,-2.480391,-0.037718,9.466258,1.010000,0.000442,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160802.000000,-0.005827,0.256799,-0.000010,0.001241,0.003306,0.001506,-2.485780,-0.060169,9.487810,2.998000,0.001537,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
162784.000000,-0.005863,0.256763,-0.000007,0.001241,0.004371,0.001506,-2.485780,-0.060169,9.487810,2.005000,0.001530,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
164783.000000,-0.005813,0.256980,-0.000004,0.002306,0.002241,0.001506,-2.511823,-0.049392,9.451889,2.004000,0.001543,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
166785.000000,-0.005766,0.256972,-0.000003,-0.003021,0.002241,0.000441,-2.482187,-0.047596,9.452787,2.004000,0.000442,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
168784.000000,-0.005814,0.256896,-0.000002,0.000175,0.004371,0.001506,-2.481289,-0.061965,9.491403,1.002000,0.001531,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
170802.000000,-0.005760,0.256878,-0.000007,0.002306,0.005436,-0.001690,-2.494760,-0.047596,9.518344,3.006000,-0.001780,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
172784.000000,-0.005717,0.256850,-0.000004,0.000175,0.001175,0.001506,-2.494760,-0.047596,9.518344,2.004000,0.001550,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
174784.000000,-0.005652,0.256853,0.000001,0.001241,-0.003086,0.002571,-2.487576,-0.043106,9.464461,2.004000,0.002676,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
176784.000000,-0.005652,0.256956,0.000000,-0.006216,0.001175,-0.000625,-2.498352,-0.051188,9.434826,2.005000,-0.000653,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
178783.000000,-0.005808,0.257063,0.000003,-0.004086,0.002241,0.002571,-2.506434,-0.083518,9.453685,1.002000,0.002645,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180802.000000,-0.005771,0.257172,-0.000002,-0.005151,-0.007347,-0.001690,-2.517211,-0.044004,9.466258,3.006000,-0.001703,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
182784.000000,-0.005725,0.257289,-0.000004,-0.003021,-0.003086,-0.001690,-2.517211,-0.044004,9.466258,1.002000,-0.001729,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
184784.000000,-0.005688,0.257292,-0.000003,0.003371,0.002241,0.000441,-2.496556,-0.047596,9.489607,2.051000,0.000442,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
186784.000000,-0.005636,0.257211,-0.000009,0.002306,0.002241,-0.002755,-2.468717,-0.042208,9.462666,1.957000,-0.002862,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
188767.000000,-0.005592,0.257141,-0.000012,-0.003021,0.005436,-0.001690,-2.480391,-0.041310,9.510262,2.004000,-0.001779,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
190802.000000,-0.005491,0.257073,-0.000025,0.000175,0.001175,-0.005951,-2.475901,-0.026941,9.487810,2.005000,-0.006160,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
192784.000000,-0.005387,0.257007,-0.000026,0.004436,0.000110,-0.000625,-2.475901,-0.026941,9.487810,2.004000,-0.000647,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
194783.000000,-0.005476,0.256981,-0.000023,0.000175,-0.002021,0.001506,-2.476799,-0.075436,9.447399,2.051000,0.001568,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
196783.000000,-0.005478,0.256928,-0.000007,-0.000890,0.005436,0.007897,-2.472309,-0.052984,9.479729,1.957000,0.008135,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
198767.000000,-0.005395,0.256844,-0.000004,0.002306,0.010763,0.001506,-2.459736,-0.029635,9.485116,2.004000,0.001496,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200802.000000,-0.005467,0.256864,-0.000010,0.003371,0.005436,-0.002755,-2.477697,-0.073639,9.421355,2.004000,-0.002879,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
202785.000000,-0.005531,0.256888,-0.000011,0.004436,0.007567,-0.000625,-2.477697,-0.073639,9.421355,2.005000,-0.000689,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
204784.000000,-0.005620,0.256840,0.000003,0.004436,0.006502,0.006832,-2.472309,-0.084416,9.488708,2.050000,0.007027,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
206784.000000,-0.005632,0.256766,0.000004,0.000175,0.004371,0.000441,-2.464226,-0.057475,9.490504,1.958000,0.000430,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208767.000000,-0.005617,0.256754,0.000005,-0.000890,0.001175,0.000441,-2.474105,-0.047596,9.442011,2.004000,0.000449,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210802.000000,-0.005590,0.256671,0.000010,-0.003021,0.002241,0.002571,-2.448960,-0.042208,9.448297,2.005000,0.002645,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
212767.000000,-0.005564,0.256586,0.000005,-0.001955,-0.000955,-0.002755,-2.448960,-0.042208,9.448297,2.003000,-0.002843,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
214767.000000,-0.005633,0.256546,-0.000003,0.002306,0.001175,-0.003821,-2.468717,-0.078130,9.468952,2.051000,-0.003957,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
216779.000000,-0.005747,0.256494,-0.000009,-0.004086,0.003306,-0.002755,-2.461532,-0.091600,9.468952,1.958000,-0.002868,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
218778.000000,-0.005719,0.256430,-0.000006,-0.003021,-0.005216,0.001506,-2.470513,-0.042208,9.501281,2.004000,0.001588,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220816.000000,-0.005659,0.256404,-0.000001,-0.001955,-0.004151,0.002571,-2.485780,-0.030533,9.507567,2.004000,0.002682,nan,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
