I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
136749.000000,-0.034763,0.270752,0.000000,-0.000319,0.000261,-0.003065,-2.603423,-0.325989,9.373759,0.000000,9.734035,0.000000,0.000000,0.000000,0.000000
138770.000000,-0.034753,0.270742,-0.000008,0.005007,-0.000805,-0.004131,-2.545050,-0.313417,9.422254,2.051000,9.764956,-0.000008,0.000000,-0.001502,0.007067
140790.000000,-0.034750,0.270744,-0.000010,0.000746,0.002391,-0.000935,-2.587258,-0.301742,9.421355,1.958000,9.774809,-0.000010,0.000000,-0.002733,0.002865
142771.000000,-0.034743,0.270753,-0.000000,0.000746,0.005587,0.004392,-2.587258,-0.301742,9.421355,2.004000,9.774809,-0.000000,0.000000,-0.002727,0.002874
144767.000000,-0.034745,0.270759,-0.000015,-0.000319,0.004522,-0.007326,-2.598933,-0.302640,9.443807,2.004000,9.799567,-0.000015,0.000000,-0.002710,0.002338
146757.000000,-0.034748,0.270761,-0.000030,0.000746,0.001326,-0.007326,-2.617792,-0.325989,9.419559,2.004000,9.781983,-0.000030,0.000000,-0.000154,-0.000154
148757.000000,-0.034741,0.270753,-0.000022,0.000746,-0.004001,0.003326,-2.615098,-0.301742,9.417764,2.051000,9.778755,-0.000022,0.000000,-0.002713,0.000032
150776.000000,-0.034726,0.270742,-0.000006,0.005007,-0.005066,0.007587,-2.595340,-0.318805,9.428540,1.958000,9.784416,-0.000006,0.000000,-0.000927,0.002276
152757.000000,-0.034726,0.270736,-0.000006,-0.000319,-0.001870,0.000131,-2.595340,-0.318805,9.428540,2.004000,9.784416,-0.000006,0.000000,-0.000926,0.002270
154757.000000,-0.034732,0.270734,-0.000011,-0.003515,0.000261,-0.003065,-2.599831,-0.300844,9.442908,2.004000,9.798884,-0.000011,0.000000,-0.002883,0.002199
156759.000000,-0.034734,0.270733,-0.000014,-0.001385,0.000261,-0.003065,-2.597136,-0.318805,9.439317,1.002000,9.795278,-0.000014,0.000000,-0.000972,0.002382
158757.000000,-0.034729,0.270733,-0.000008,0.001811,0.000261,0.003326,-2.609709,-0.336766,9.424948,2.005000,9.785378,-0.000008,0.000000,0.000987,0.000771
160760.000000,-0.034722,0.270726,0.000003,0.001811,-0.001870,0.003326,-2.609709,-0.336766,9.424948,3.006000,9.785378,0.000003,0.000000,0.000994,0.000764
162757.000000,-0.034720,0.270721,-0.000000,-0.000319,0.000261,-0.002000,-2.570195,-0.289169,9.464461,2.005000,9.811501,-0.000000,0.000000,-0.004176,0.005671
164757.000000,-0.034716,0.270730,0.000006,0.001811,0.004522,0.003326,-2.624078,-0.340358,9.457277,2.004000,9.820475,0.000006,0.000000,0.001258,0.000239
166759.000000,-0.034714,0.270731,0.000008,0.000746,0.001326,0.002261,-2.608811,-0.315213,9.410579,1.002000,9.770581,0.000008,0.000000,-0.001231,0.000446
168757.000000,-0.034707,0.270721,0.000017,0.000746,-0.005066,0.003326,-2.615995,-0.291864,9.417764,2.004000,9.778696,0.000017,0.000000,-0.003726,-0.000097
170762.000000,-0.034690,0.270720,0.000034,0.002876,0.000261,0.007587,-2.602525,-0.265820,9.453685,2.005000,9.808973,0.000034,0.000000,-0.006579,0.002184
172757.000000,-0.034697,0.270718,0.000037,-0.005646,0.000261,0.000131,-2.602525,-0.265820,9.453685,3.006000,9.808973,0.000037,0.000000,-0.006586,0.002181
174757.000000,-0.034697,0.270711,0.000036,-0.000319,-0.001870,-0.000935,-2.600729,-0.317009,9.479729,2.004000,9.835117,0.000036,0.000000,-0.001269,0.003095
176757.000000,-0.034706,0.270719,0.000030,-0.002450,0.005587,-0.002000,-2.598933,-0.358319,9.453685,2.005000,9.810963,0.000030,0.000000,0.003178,0.002618
178757.000000,-0.034713,0.270724,0.000032,-0.004581,0.005587,0.002261,-2.589952,-0.383464,9.422254,1.002000,9.779251,0.000032,0.000000,0.005962,0.002684
180775.000000,-0.034710,0.270719,0.000029,0.000746,0.001326,-0.000935,-2.574686,-0.315213,9.485116,3.010000,9.833402,0.000029,0.000000,-0.001489,0.005800
182757.000000,-0.034712,0.270717,0.000027,-0.002450,0.001326,-0.002000,-2.574686,-0.315213,9.485116,0.998000,9.833402,0.000027,0.000000,-0.001492,0.005799
184757.000000,-0.034725,0.270725,0.000028,-0.007776,0.004522,0.000131,-2.603423,-0.302640,9.429438,2.051000,9.786914,0.000028,0.000000,-0.002641,0.001473
186757.000000,-0.034746,0.270735,0.000022,-0.007776,0.006652,-0.002000,-2.594442,-0.367299,9.455482,1.958000,9.811838,0.000022,0.000000,0.004080,0.003133
188739.000000,-0.034746,0.270735,0.000035,-0.001385,0.002391,0.006522,-2.582768,-0.339460,9.479729,2.004000,9.831134,0.000035,0.000000,0.001048,0.004902
190776.000000,-0.034729,0.270730,0.000034,0.007137,-0.000805,-0.000935,-2.599831,-0.301742,9.494097,2.004000,9.848250,0.000034,0.000000,-0.002958,0.003574
192757.000000,-0.034734,0.270722,0.000022,-0.002450,-0.001870,-0.006261,-2.599831,-0.301742,9.494097,2.005000,9.848250,0.000022,0.000000,-0.002963,0.003566
194757.000000,-0.034736,0.270717,0.000019,-0.001385,-0.002935,-0.002000,-2.629466,-0.301742,9.415070,2.051000,9.780014,0.000019,0.000000,-0.002698,-0.001493
196757.000000,-0.034742,0.270716,0.000018,-0.001385,-0.000805,0.000131,-2.622282,-0.364605,9.447399,1.957000,9.811353,0.000018,0.000000,0.003832,0.000157
198739.000000,-0.034737,0.270713,0.000034,-0.000319,-0.001870,0.007587,-2.627670,-0.317009,9.428540,2.005000,9.792983,0.000034,0.000000,-0.001128,-0.000937
200776.000000,-0.034726,0.270715,0.000050,0.002876,0.000261,0.007587,-2.627670,-0.317009,9.428540,2.004000,9.792983,0.000050,0.000000,-0.001116,-0.000935
202757.000000,-0.034707,0.270712,0.000054,0.008203,-0.001870,0.001196,-2.615098,-0.304436,9.406089,2.004000,9.767596,0.000054,0.000000,-0.002352,-0.000326
204757.000000,-0.034694,0.270700,0.000060,0.003942,-0.002935,0.002261,-2.560317,-0.298150,9.441113,2.051000,9.786660,0.000060,0.000000,-0.003124,0.006007
206757.000000,-0.034707,0.270687,0.000051,-0.005646,-0.002935,-0.004131,-2.558521,-0.326887,9.460870,1.958000,9.806169,0.000051,0.000000,-0.000169,0.006723
208739.000000,-0.034722,0.270686,0.000041,-0.006711,0.003456,-0.005196,-2.552234,-0.312519,9.466258,2.004000,9.809261,0.000041,0.000000,-0.001720,0.007471
210777.000000,-0.034728,0.270680,0.000046,-0.004581,0.000261,0.002261,-2.552234,-0.312519,9.466258,2.005000,9.809261,0.000046,0.000000,-0.001726,0.007465
212739.000000,-0.034728,0.270661,0.000054,-0.002450,-0.007196,0.003326,-2.574686,-0.299048,9.450093,2.004000,9.799117,0.000054,0.000000,-0.003093,0.004793
214739.000000,-0.034732,0.270649,0.000052,-0.001385,-0.005066,-0.000935,-2.604321,-0.339460,9.422254,2.051000,9.781441,0.000052,0.000000,0.001280,0.001147
216739.000000,-0.034744,0.270645,0.000040,-0.004581,-0.000805,-0.006261,-2.616894,-0.325989,9.485116,1.957000,9.844888,0.000040,0.000000,-0.000389,0.001599
218739.000000,-0.034752,0.270646,0.000032,-0.004581,0.001326,-0.004131,-2.611505,-0.294558,9.481524,2.005000,9.839005,0.000032,0.000000,-0.003696,0.002003
220760.000000,-0.034764,0.270646,0.000031,-0.007776,0.001326,-0.000935,-2.611505,-0.294558,9.481524,2.004000,9.839005,0.000031,0.000000,-0.003708,0.002003
222739.000000,-0.034756,0.270644,0.000041,0.001811,0.000261,0.004392,-2.587258,-0.302640,9.439317,2.004000,9.792150,0.000041,0.000000,-0.002705,0.003251
224739.000000,-0.034756,0.270641,0.000043,0.000746,-0.001870,0.001196,-2.630364,-0.354726,9.429438,2.051000,9.795863,0.000043,0.000000,0.002845,-0.001213
226739.000000,-0.034770,0.270634,0.000041,-0.006711,-0.002935,-0.000935,-2.609709,-0.325091,9.472544,1.957000,9.830837,0.000041,0.000000,-0.000464,0.001951
